Name,WHO Region,Cases - cumulative total,Cases - cumulative total per 100000 population,Cases - newly reported in last 7 days,Cases - newly reported in last 7 days per 100000 population,Cases - newly reported in last 24 hours,Deaths - cumulative total,Deaths - cumulative total per 100000 population,Deaths - newly reported in last 7 days,Deaths - newly reported in last 7 days per 100000 population,Deaths - newly reported in last 24 hours
Global,,599071265,7685.780525958528,4444436,57.01985999557004,415147,6467023,82.96862550121796,12877,0.16520537975188634,1111,
United States of America,Americas,92953690,28082.461,539791,163.078,0,1033207,312.145,2696,0.814,0
India,South-East Asia,44418585,3218.728,61039,4.423,2862,527829,38.248,413,0.03,30
Brazil,Americas,34384747,16176.534,99883,46.991,3452,683494,321.554,945,0.445,22
France,Europe,33466622,51455.953,116194,178.652,3806,150451,231.323,336,0.517,78
Germany,Europe,32095854,38592.189,206209,247.947,32474,147223,177.022,41,0.049,4
The United Kingdom,Europe,23493327,34607.026,6095,8.978,0,187761,276.583,16,0.024,0
Republic of Korea,Western Pacific,23142479,45139.159,693178,1352.036,115638,26689,52.057,528,1.03,71
Italy,Europe,21814856,36576.646,153971,258.161,8347,175407,294.102,610,1.023,60
Russian Federation,Europe,19482648,13350.272,301277,206.447,37067,384254,263.306,568,0.389,94
Japan,Western Pacific,18632422,14731.929,1307397,1033.708,125907,39253,31.036,1976,1.562,248
Türkiye,Europe,16671848,19767.646,0,0,0,100400,119.043,0,0,0
Spain,Europe,13332976,28168.687,18212,38.477,0,112454,237.582,326,0.689,0
Viet Nam,Western Pacific,11405711,11717.565,19695,20.233,2409,43113,44.292,7,0.007,1
Australia,Western Pacific,10005838,39238.759,87411,342.79,8708,13759,53.957,397,1.557,111
Argentina,Americas,9678225,21414.004,19834,43.885,0,129711,286.998,65,0.144,0
Netherlands,Europe,8383824,48161.902,7812,44.877,780,22598,129.817,15,0.086,1
Iran (Islamic Republic of),Eastern Mediterranean,7525628,8959.833,14926,17.771,1966,143776,171.176,327,0.389,48
Mexico,Americas,7014510,5440.441,15115,11.723,0,329390,255.474,91,0.071,0
China,Western Pacific,6366818,432.738,203294,13.817,23565,24766,1.683,267,0.018,26
Indonesia,South-East Asia,6349175,2321.253,25460,9.308,0,157521,57.59,101,0.037,0
Colombia,Americas,6299595,12380.576,6465,12.706,0,141519,278.127,113,0.222,0
Poland,Europe,6173059,16262.808,22483,59.231,5300,117059,308.39,150,0.395,29
Portugal,Europe,5413173,52575.96,18594,180.596,860,24839,241.251,41,0.398,7
Ukraine,Europe,5044941,11535.576,0,0,0,108803,248.785,0,0,0
Austria,Europe,4951660,55629.979,34306,385.415,2779,20628,231.748,31,0.348,1
Malaysia,Western Pacific,4778140,14762.838,18310,56.572,1946,36206,111.864,51,0.158,8
Greece,Europe,4712025,43961.342,0,0,0,32335,301.673,0,0,0
Thailand,South-East Asia,4648679,6660.001,11480,16.447,994,32275,46.239,194,0.278,27
Israel,Europe,4632026,53515.153,6534,75.489,1087,11603,134.053,14,0.162,5
Chile,Americas,4499223,23536.178,50207,262.641,4819,60435,316.145,199,1.041,23
Belgium,Europe,4482315,38900.745,7717,66.974,6,32516,282.197,30,0.26,2
Canada,Americas,4158491,11018.16,22884,60.632,0,43797,116.043,292,0.774,0
Peru,Americas,4099785,12434.196,25781,78.191,2255,215639,654.009,297,0.901,37
Czechia,Europe,4038511,37764.485,10831,101.282,2661,40805,381.571,37,0.346,5
South Africa,Africa,4011431,6763.648,1431,2.413,74,102084,172.123,18,0.03,0
Switzerland,Europe,4010638,46341.017,6,0.069,0,13504,156.032,0,0,0
Philippines,Western Pacific,3877110,3538.12,18308,16.707,2573,61720,56.324,334,0.305,53
Denmark,Europe,3271458,56183.946,6456,110.875,2130,6912,118.707,47,0.807,19
Romania,Europe,3212211,16618.749,22617,117.012,1905,66639,344.765,139,0.719,2
Sweden,Europe,2564423,24830.8,2687,26.018,0,19810,191.816,2,0.019,0
Iraq,Eastern Mediterranean,2456555,6107.416,0,0,0,25343,63.007,0,0,0
Serbia,Europe,2275675,32853.644,27387,395.383,3675,16657,240.475,112,1.617,14
Hungary,Europe,2036390,20844.307,14742,150.898,0,47191,483.043,108,1.105,0
Bangladesh,South-East Asia,2011560,1221.427,1237,0.751,0,29323,17.805,7,0.004,0
Singapore,Western Pacific,1834190,31351.842,15630,267.164,1410,1591,27.195,7,0.12,0
Slovakia,Europe,1833873,33600.507,2194,40.199,125,20349,372.838,11,0.202,0
Georgia,Europe,1735682,43509.798,12595,315.729,0,16889,423.371,6,0.15,0
Jordan,Eastern Mediterranean,1735495,17009.431,3946,38.674,0,14110,138.291,5,0.049,0
New Zealand,Western Pacific,1722403,35717.955,16179,335.508,2592,2795,57.961,81,1.68,11
Ireland,Europe,1655338,33343.902,820,16.517,0,7820,157.52,7,0.141,0
Pakistan,Eastern Mediterranean,1568453,710.053,1801,0.815,0,30574,13.841,19,0.009,0
Kazakhstan,Europe,1478163,7872.323,3965,21.117,228,19041,101.408,3,0.016,0
Norway,Europe,1459738,27195.459,628,11.7,29,3953,73.646,0,0,0
Morocco,Eastern Mediterranean,1264342,3425.421,332,0.899,26,16272,44.085,2,0.005,1
Finland,Europe,1258798,22782.47,1138,20.596,0,5577,100.936,0,0,0
Bulgaria,Europe,1241273,17856.236,5763,82.903,1403,37599,540.877,39,0.561,11
Lithuania,Europe,1217300,43566.957,6113,218.783,1657,9286,332.344,21,0.752,2
Croatia,Europe,1211979,29865.198,5346,131.734,59,16673,410.851,94,2.316,15
Lebanon,Eastern Mediterranean,1208681,17708.457,3954,57.93,377,10622,155.624,16,0.234,1
Tunisia,Eastern Mediterranean,1143167,9672.594,1394,11.795,0,29233,247.347,24,0.203,0
Slovenia,Europe,1122961,53579.937,9364,446.785,372,8121,387.478,11,0.525,0
Cuba,Americas,1110464,9804.023,410,3.62,57,8530,75.309,0,0,0
Bolivia (Plurinational State of),Americas,1100112,9424.398,6894,59.059,394,22195,190.139,24,0.206,1
Guatemala,Americas,1097563,6126.309,12107,67.578,0,19451,108.57,99,0.553,0
Costa Rica,Americas,1088716,21372.022,8891,174.535,0,8856,173.848,28,0.55,0
United Arab Emirates,Eastern Mediterranean,1014387,10256.277,3988,40.322,522,2341,23.669,0,0,0
Nepal,South-East Asia,996979,3421.717,990,3.398,0,12000,41.185,6,0.021,0
Ecuador,Americas,995111,5640.242,5226,29.621,379,35832,203.094,17,0.096,1
Belarus,Europe,994037,10519.666,0,0,0,7118,75.328,0,0,0
Uruguay,Americas,979160,28187.568,1855,53.401,0,7445,214.323,7,0.202,0
